"Title","Company","Location","Sector","Python","R","Perl","Java","Hadoop","SQL","PHD","Description"
"Data Scientist","Analytic Recruiting, Inc.","Chicago, IL",NA,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","About the Job
        
                Seeking a Data Scientist with strong background in developing econometric models and delivering analytics software solutions. Must have experience in quantitative marketing analysis with an emphasis on developing solutions for marketing, pricing and/or advertising organizations. Expertise in Python (with pandas), R/SAS required. Responsibilities:·         Graduate degree in Statistics, Economics, Applied Mathematics, Computer Science, Engineering, or other Quantitative Field of Study. Open to recent PhD’s but scope of thesis must be relevant to development of econometric and pricing models.·         Design market response analytics models and approaches.·         Create various prototypes for research and development purposes.·         Highly desirable: Marketing mix modeling, household/person-level loyalty card analytics, big data analytics and/or machine Keywords: Econometric and stats modeling, SAS/R, Python Refer to Job #22866 – and send MS Word attached resume to Ursula Singh, ursula@analyticrecruiting.comHelp  
            
        View more info

            View less info
                    Report this job
        "
"Data Scientist III","Genesis10","Kansas City, MO","Computer Software,                    ,                ,          ","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","About the Job
        
                Genesis10 is actively seeking a DATA SCIENTIST III for a CONTRACT TO HIRE position with our Banking industry client located in Kansas City, MO. Description:Our client seeks a DATA SCIENTIST to join their Application Delivery Services organization.	With oversight from other senior staff and/or management the data scientist is responsible for processing, cleaning, and analyzing large volumes of data to assist with addressing business line problems or the completion of research initiatives. Applies knowledge of statistics, machine learning, programming, and/or data modeling to Client information, recognize patterns and trends, and address business or research questions.Responsibilities: Develops and implements solutions for cleansing data to remove errors and ensure consistency. 	Directs and participates in the analysis of data to Client information, business value, patterns and trends in support of program decision making. 	Conducts directed research in applying existing data science methods to business line problems. 	Assists with research, development, and publication of new data science methods. Requirements:Bachelor's degree in a technology related field (Computer Science preferred, Master's preferred) and 4 years of related experience. 	Broad but shallow competency in technical skills related to computing (operating systems, databases, networking, high performance computing, and related). 	Fluent in at least one programming language common in data science. 	Demonstrated aptitude for scientific research and publication.If you have the described qualifications and are interested in this exciting opportunity, apply today! About Genesis10:Genesis10 is a leading U.S. business and technology consulting firm with hundreds of clients needing proven talent and solutions to power their strategic initiatives. If you are a high performing business or IT professional with solid, referenced experience, we want to meet you. Genesis10 recruiters and delivery professionals are highly accomplished career advocates, who get to know you beyond your resume to position you with the opportunities that fit your skills, experience and aspirations. We have benefit options to fit your needs and a support staff that works with you from placement throughout your engagement – project after project. To learn more about Genesis10 and to view all our available career opportunities, please visit us at www.genesis10.com “Genesis10 is an Equal Opportunity Employer, M/F/D/V”  
            
        View more info

            View less info
                    Report this job
        "
"Data Scientist","CyberCoders","Palo Alto, CA","Insurance,                    ,                ,                  ","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","About the Job
        
                We are a growing start-up in the Palo Alto, CA area. We have a strong market presence in the life insurance field. We are a growing team of innovators going after this huge market by putting the user at the center of product design. We are creating a company built on technology, design, and data science so users can get the coverage they want and need!What You Will Be Doing-  Know and understand our data elements and architecture deeply and comprehensively-  Use your expertise in modeling, quantitative analysis, and data mining to inform core business expansion, feature development, and channel optimization-  Build production machine learning models; your models will create new best practices in real time underwriting-  Collaborate with world class team members across engineering, product, risk, finance, and marketing-  Report to the head of engineeringWhat You Need for this PositionMust haves-  Ability to execute independently on projects with lots of ambiguity-  Ability to work in small teams with engineering, product, design, and risk to solve problems-  Internalize our company goals and think like we do-  Be a selfless team member and help unblock other team members-  Be willing to become an industry expert in our vertical (life insurance)What's In It for YouExcellent compensation, benefits and perks package.So, if you are a Data Scientist with experience, please apply today!
            
        View more info

            View less info
                    Report this job
        "
"Data Scientist","Principle Solutions Group","Cincinnati, OH",NA,"TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","About the Job
        
                Data Scientist Location: Blue Ash, OH 45242Duration: 12 months contract to hire Our large client in Cincinnati is looking for a Data Scientist to join their team. In this role you will be responsible for creating   detailed analysis and operational recommendations through intense mathematical   analysis, collaboration with subject matter experts, model design and   development. RESPONSIBILITIES:Assist        in the initial definition of the problem statement and data requirements.Design        and develop models to visualize the problem.Assist        in the creation of measurement systems to track project success and goal        attainment.Perform        extensive analysis of the problem and outline possible solutionsPublish        findings and recommendations to project team, management and operations        research peers.Collaboratively        develop plans to implement suggested improvements and confirm the plans        are realized.Create        sustainable control plans for improvement efforts.Techniques and tools include,        but not limited to: Mathematical optimization, quantitative decision        support, simulation, linear programming, dynamic programming, regression        analysis, cluster analysis, queuing theory, statistics, forecasting, data        mining, project management  REQUIREMENTS: Bachelor’s Degree, BA/BS degree in   Engineering/Sciences/Quantitative discipline or equivalent. Minimum of 2 years’ experience with   data collection and analysis.Current Technologies: R, MS SQL,   Simul8 Strong mathematics and statistical   background.Database Management and/or modeling   skillsExperience with transitioning applications   from R&D into production is a plusExperience with machine learning,   optimization, and simulation techniques is a plus   For Immediate consideration please   send an updated MS word version of your resume to emily.reno@principlesolutions.comHelp    Keywords: (""data"" OR ""Values"" OR   ""qualitative variables"" OR ""quantitative variables"" OR   ""information"" OR ""Analyst"" OR ""database"" OR   ""experimental data"" OR ""processed data"" OR ""field data""   OR ""unprocessed data"" OR ""raw data"" OR ""data   collection"" OR ""report"" OR ""reports"" OR ""reporting""   OR ""metadata"" OR ""meta data"") AND (""analyst"" OR   ""analist"" OR ""analysis"" OR ""analytics"" OR   ""analytical"" OR ""analyse"" OR ""analyze"" OR   ""consultant"" OR ""analista"" OR ""forecasting"" OR   ""analys"" OR ""modeler"" OR ""analyste"" OR   ""senior analyst"" OR ""modeling"" OR ""modelling"")   AND (""r"" OR ""sql"" OR ""python"" OR ""sas"")   AND (""sql"" OR ""mysql"" OR ""t sql"" OR   ""tsql"" OR ""pl/sql"" OR ""plsql"" OR ""pl sql""   OR ""pl sql"" OR ""ssis"" OR ""ssrs"" OR   ""sql2012"" OR ""mssql"" OR ""sqlserver"" OR ""ms   sql"" OR ""structured query language"" OR ""nosql"" OR   ""postgres"" OR ""postgresql"" OR ""sql2008"" OR   ""vba"" OR ""tableau"" OR ""bi"" OR ""rdbms""   OR ""ssas"" OR ""etl"" OR ""sybase"" OR   ""relational database"" OR ""qlikview"") AND (""data   modeling"" OR ""data modelling"" OR ""data mapping"" OR   ""data model"") 
            
        View more info

            View less info
                    Report this job
        "
"Jr. to Senior Data Scientist, top tier Health company (up to $170k)","Skyrocket Ventures","San Francisco, CA","Internet Services; Computer Software; Healthcare Services,        ","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","About the Job
        
                Skyrocket Ventures is a recruiting firm for hundreds of high growth technology companies that range from industry leaders to top-tier startups.  This opportunity is with one of our client companies for a full-time permanent hire.  Please only apply if you are authorized to work in the U.S.Please note that even if this job is not a perfect match, we encourage you to apply as long as it is in the ballpark.  Companies are often flexible in hiring candidates who do not perfectly fit their written job description, as long as the most important qualifications are there and the candidate is good in general.Most of the jobs we are recruiting for are not posted online, so if you would like to know of all the opportunities we have that match your interests and qualifications, then please get in touch with us.Thank you!Matthew Strassberg Recruiting Director Skyrocket Ventures Feel free to check out testimonials from some of our many candidates/clients here: http://www.linkedin.com/in/mstrassberg Jr. to Senior Data Scientist, top tier Health company (up to $170k)San Francisco, CA The company is in the health space, and has raised a very large amount of funding from top VCs.  They want to hire several Data Scientists as soon as possible (from jr. to sr. level).The healthcare industry is huge (about 20% of the U.S. economy), and has a lot of opportunity for innovation and improvement.  This company is doing just that, and is working to increase the quality of healthcare and decrease its cost.  Their product even saves lives!They are offering competitive salary, generous benefits, and equity which could be quite lucrative.Job Responsibilities:- Partnering with the Product and Clinical teams to define criteria and measure the success of new initiatives.- Building tools, models, and validation processes that help translate insights into action at a large scale.- Empowering the company's operations staff to understand the relevant data and how it should impact their decisions.- Determining priorities by estimating the impact of projects.- Acquiring and bringing structure to data so that it can be used in reports and data apps.Qualifications:- a BS and/or MS in Computer Science, Mathematics, Physics, Statistics, or equivalent experience- at least 1 year of experience in a similar position- Experience in either machine learning, probability, statistics, mathematics, analytics, or similar.- Experience with Python (preferred) or R- Strong problem solving and probabilistic reasoning skillsDid you like this job or want to see more?  All of our online job postings can be found on these sites: https://www.dice.com/company/10366547  https://www.monster.com/jobs/c-skyrocket-ventures.aspx  https://www.linkedin.com/jobs/skyrocket-ventures-jobs Follow us on Instagram here: https://www.instagram.com/skyrocketventures Follow us on LinkedIn here:https://www.linkedin.com/company/skyrocket-ventures
            
        View more info

            View less info
                    Report this job
        "
"Data Scientist","Hays","Raleigh, NC","Computer Software; Computer/IT Services,                    ,     ","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","About the Job
        
                DATA SCIENTIST - PERM - RALEIGH, NCThis position is NOT eligible for subcontractors or those that require sponsorshipData Scientist Requirements:* 5+ years of experience with projects involving data analysis * 5+ years of experience with R* Experience with other statistical tools, such as SAS, a plus* Bachelor's degree in Mathematics/Statistics/Data Science, Business Management, or related field* Basic web development experience using HTML, CSS, and JavaScript is a plus* Thorough knowledge and experience with statistical techniques in the areas of regression, classification, clustering, and predictive analytics * Ability to produce visualizations to summarize data and the results of analyses * Ability to write queries to extract data from an Oracle SQL Server database* Strong knowledge of data visualization tools* Ability to understand complex business questions and apply appropriate statistical techniques to answer the questions* Ability to analyze and document complex business processes* Ability to gather and interpret relevant information from non-technical SME's* Ability to discern the best solution to a customer's needs* Excellent communication and written language skillWhy Hays?You will be working with a professional recruiter who has intimate knowledge of the Information Technology industry and market trends . Your Hays recruiter will lead you through a thorough screening process in order to understand your skills, experience, needs, and drivers. You will also get support on resume writing, interview tips, and career planning, so when there's a position you really want, you're fully prepared to get it. Additionally, if the position is a consulting opportunity, Hays provides full benefits at virtually no cost to you. * Medical * Dental * Vision * 401K * Life Insurance ($20,000 benefit)* ATOP - Accrued time off program* Consultant lunches and outings * Care packages/Survival packs* Dedicated Consulting Services RepresentativeNervous about an upcoming interview? Unsure how to write a new resume?Visit the Hays Career Advice section to learn top tips to help you stand out from the crowd when job hunting. Hays is an Equal Opportunity Employer.Drug testing may be required; please contact a recruiter for more information. 
            
        View more info

            View less info
                    Report this job
        "
"Data Scientist","SNI Technology","Boston, MA","Internet Services,                    ,                ,          ","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","About the Job
        
                  Job Description      Data Scientist- (Salary is based on experience)        Great Company, Culture and Benefits!!!    Skills:  7+ years of engineering experience with python    3+ years of working experience in data science    scikit-learn    Java or C++    Git    Strong communication skills (English)  Experience with:  Writing memory-efficient pre-processing pipelines    Clustering and unsupervised learning    Time series    NLP  Bonus:  Visualizing data with javascript    Kaggle grandmaster, former top 10, or current top 100    R    Spark    Geospatial modeling    Past experience with startups    Currently located in Boston or Singapore    Core contributor of an open source machine learning or data science project  
            
        View more info

            View less info
                    Report this job
        "
"Big Data / Data Scientist Analyst / NJ OR PA / R Modeling","NTT DATA Services","Whitehouse Station, NJ","Computer/IT Services,                    ,                ,       ","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","About the Job
        
                The Opportunity:NTT DATA, Inc., a top 10 global IT services company, has an immediate need for aData Scientist/Big Data Specialistwith R Modeling.Location: Remote with some travel overseas.Job Description:Sr. Big Data Specialist with excellent written and oral communication skills - C-Level skills.This is to assist in moving a current commercial site to the cloud (AWS).This person needs executive level (C-Level) presence, travel may be required to multiple countries.The client is looking to build out a new commercial site into AWS . The client is handling the IT track and needs to provide the data to the technical team.This is currently scheduled for outside of the US with a total of 11 countries in scope. This data is used for predictive forecasting and budgeting for a particular product. Currently it is a manual process so by moving it to AWS they will be automating and tightening the predictive numbers (more efficient and more accurate are the goals).This person needs executive level presence, travel may be required to the below countries. This is currently scheduled for outside of the US with a total of 11 countries in scope. This 1st phase will only be for 4 countries (Japan, China, Korea and Germany). This data is used for predictive forecasting and budgeting for a particular drug.Skills Desired:Data Scientist backgroundR Modeling experienceVisualization experienceIMS Data experienceHadoopTeradataSAPAWSNTT DATA is a leading IT services provider and global innovation partner with 130,000 professionals based in over 50 countries. NTT DATA recently acquired Dell Services. NTT DATA emphasizes long-term commitment and combines global reach and local intimacy to provide premier professional services, including consulting, application services, business process, IT outsourcing, and cloud-based solutions. We're part of NTT Group, one of the world's largest technology services companies, generating more than $100 billion in annual revenues and partner to 80% of the Fortune 100. Visitwww.nttdata.com/americasto learn how our consultants, projects, managed services, and outsourcing engagements deliver value for a wide range of businesses and government agencies.The Company is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment withoutregard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.
            
        View more info

            View less info
                    Report this job
        "
"Python Data Scientist","Eclaro","NEW YORK, NY","Energy and Utilities,                    ,                ,       ","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","About the Job
        
                                              Python Data Scientist                                                    Want to be part of the Energy Industry? Eclaro is looking for a Python Data Scientist for our client in New York, NY.                                                             Eclaro's client operates one of the world's largest energy delivery systems, constantly at the forefront of innovations in developing technology. If you’re up to the challenge, then take a chance at this rewarding opportunity!                                                                       The Python Data Scientist will help work with an IT team member to build advanced analytics solutions for Gas Operations. He/She will be responsible for applying innovative analytical and research approaches to help Client tackle complex and strategically important problems.                                                                             QUALIFICATIONS:                                                                        Experienced Data Scientist(5 years minimum) with expert knowledge in applying data mining techniques, performing data and statistical analysis, building high quality analytics and prediction platforms to support our business processes.                                                Must have a minimum 5 years of relevant work experience in applied quantitative and qualitative analysis.                                                Must have a proven track record leading the development and delivery of creative, advanced, actionable analytic products and services.                                                Must have experience managing vendor engagements to understand business problems/opportunities, translating needs into analytic projects and applying results.                                                Must have a command of analytic methods, tools and data wrangling techniques.                                                Must demonstrate the ability to quickly acquire in-depth knowledge of new IT technologies.                                                Must have the ability to present technical topics to non-technical audience and have demonstrated ability to handle multiple assignments and changing priorities.                                                      Technical Skills:                                                    Strong ability to code in Python(5+ years).                                                Have full stack experience in data cleaning, collection, aggregation, analysis and visualization                                                Experience on real-time and streaming data process and machine learning model                                                Strong understanding and experience on Neural Network/Deep Leaning/XGboost and other classification machine learning method.                                                Knowledge and hands on experience on GPU calculation like CUDA.                                                Experience with R, Spark, Hadoop/MapReduce and machine learning frameworks preferred.                                                Experience on NoSQL database and Big data processing                                                Experience on data visualization, like Tableau/PowerBI                                                                              PREFERRED:                                                                        Utility industry experience preferred.                                                Team player, ability to work with various levels of management.                                                Good leadership skills is a plus.                                                      If hired, you will enjoy the following Eclaro Benefits:                                                    401k Retirement Savings Plan administered by Merrill Lynch                                                Commuter Check Pretax Commuter Benefits                                                Eligibility to purchase Medical, Dental & Vision Insurance through Eclaro                                                      Interested in applying?                                Contact Heckle Tulab at Heckle@eclaro.comHelp   now.                                                                                                           Equal Opportunity Employer:                     Eclaro values diversity and does not discriminate based on Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.            
            
        View more info

            View less info
                    Report this job
        "
"Data Scientist (P)","Fulcrum IT Services, LLC","Fairfax/Manassas/Reston, VA","Other/Not Classified,                    ,                ,       ","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","About the Job
        
                                   100142: Data Scientist (P)        Full Time/Part Time          Full Time        Clearance          Obtain a Public Trust        Job Group          Technical        Location          Centreville, VA                                                      FULCRUMJOB DESCRIPTION                                      PositionTitle:     Data Scientist  (P-NAEP)                                      Labor Cat:                                                FLSAStatus:       Full-time, Salary, Exempt                                      Clearance:          Ability to Obtain a Public Trust                                      Location:             Centreville, VA                                      Manager:            Program Manager                                                                                                                                      Summary:                    Fulcrumis currently looking for a Data Scientist will help us discover the informationhidden in vast amounts of data, and help us make smarter decisions to delivereven better products. Your primary focus will be in applying data miningtechniques, doing statistical analysis, and building high quality predictionsystems integrated with our products and presenting this data to clients andpartners alike. This position will be responsible for analyzing large volumesof data and providing in-depth analysis, metrics and reporting for purposesincluding but not limited to software defect rates, frequency distributions anddata anomalies. In some cases in near real time. The candidate will be expectedto efficiently and reliably help design, implement and deliver qualityinformation in various forms of presentation that meets or exceeds all clientexpectations. The candidate may also be expected to attend meetings, conferencecalls or participate in other forms of direct communication with the client.                                                   Duties& Responsibilities:                              Create and manage SQL queries necessary to support required known and ad-hoc data analysis using tools compatible with Microsoft SQL Server 2016                          Create and manage Machine Learning-based tools or processes as required                          Provide statistical analysis and results in a meaningful way to various audiences                          Provide domain-specific expertise and guidance and perspective on best practices related to reporting and analysis of complex data structures                          Discover trends in the data collected for projection in future years                          Consult system architecture, design and coding as it relates to ensuring correct data elements are captured to support reporting efforts                          Analyze business and technical requirements                          Provide guidance and mentoring to less-experienced staff members                          Participate in conference calls, meetings and other communications with the client and other stakeholders for the project                          Enhancing data collection procedures to include information that is relevant for building analytic systems                          Processing, cleansing, and verifying the integrity of data used for analysis                          Doing ad-hoc analysis and presenting results in a clear manner                          Creating automated anomaly detection systems and constant tracking of its performance                                    Other duties may be assigned, as necessary.                                                                                                                        MinimumRequirements:                                                        Education                        :          HS Diploma                                                    Experience                        :        Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc. Excellence in at least one of these is highly desirable                                    Computers:                           Proficiency in using query languages such as SQL, Hive, Pig; Experience with NoSQL databases, such as MongoDB, Cassandra, HBase                                          Certificates                        :                                                                     Clearance                        :          Ability to Obtain a Public Trust                                                              US Passport                        :      Not Required                                                              Language:                                  Must speak fluent English                                                                                                                                                                    Knowledge, Skills, & Abilities:                                               Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.                          Great communication skills                          Good applied statistics skills, such as distributions, statistical testing, regression, etc.                          Good scripting and programming skills                          Data-oriented personality                                                                                               Desired or Preferred Knowledge, Skills, & Abilities:                                               Excellent understanding of T-SQL and demonstrated mastery of efficient query development                          Demonstrable efforts in data presentation to C-Level and/or politically appointed clientele                          Fluent in maintaining environments to support utilization of R and other data science toolkits                          Certification in data science areas                                                                 PhysicalDemands -                    The physicaldemands described here are representative of those that may need to be met byan employee to successfully perform the essential functions of this job.Reasonable accommodations may be made to enable individuals with disabilitiesto perform the essential functions.                                                 While performing the duties of thisJob, the employee is regularly required to sit and talk or hear. The employeeis frequently required to walk; use hands to finger, handle, or feel and reachwith hands and arms. The employee is occasionally required to stand; climb orbalance and stoop, kneel, crouch, or crawl. The employee must occasionally liftand/or move up to 20 pounds.                                         Fulcrum is an information technology (IT) company based inCentreville, Virginia, that provides IT solutions and services for federal,state, local, and commercial customers. Fulcrum specializes in the areas of TechnologyServices, Cyber Security, Intelligence, Analysis & Operations, MissionsSystems, Health Care and Human Capital.                                                   Fulcrum is an equal opportunity employer and givesconsideration for employment to qualified applicants without regard torace, color, religion, sex, national origin, disability or protected veteranstatus. EOE ofMinorities/Females/Veterans/Disability                    “CJ”  *MON* #Dice                                
            
        View more info

            View less info
                    Report this job
        "
